match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc
3895340,Bundesliga 2023/2024,Bochum,60,-2,1,30,3,31-60,Center Defensive Midfield,MF,0.0,1.1412,-1.1412,0,70,24,0.1902,0.5958,-0.4056,0.7356,Positive,1,1
3895340,Bundesliga 2023/2024,Bochum,60,-2,1,30,4,31-60,Center Forward,FW,0.0,1.1412,-1.1412,0,70,24,0.1902,0.5958,-0.4056,0.7356,Positive,1,0
3895340,Bundesliga 2023/2024,Bayer Leverkusen,63,2,0,27,1,61-75,Right Center Back,DF,0.3577,0.0387,0.319,4,89,18,1.027,0.1516,0.8754,0.5564,Positive,2,2
3895340,Bundesliga 2023/2024,Bayer Leverkusen,68,2,0,22,2,61-75,Left Wing,FW,0.3744,0.0387,0.3357,4,109,13,1.3964,0.1516,1.2448,0.9091,Positive,2,0
3895340,Bundesliga 2023/2024,Bayer Leverkusen,68,2,0,22,3,61-75,Center Forward,FW,0.3744,0.0387,0.3357,4,109,13,1.3964,0.1516,1.2448,0.9091,Positive,2,0
3895340,Bundesliga 2023/2024,Bayer Leverkusen,78,3,0,12,4,76-90+,Left Defensive Midfield,MF,1.027,0.1516,0.8754,8,101,15,1.7492,0.0,1.7492,0.8738,Positive,3,1
3895340,Bundesliga 2023/2024,Bayer Leverkusen,79,3,0,11,5,76-90+,Right Wing Back,FW,1.0019,0.1516,0.8503,7,99,15,1.7775,0.0,1.7775,0.9272,Positive,3,0
3895286,Bundesliga 2023/2024,Hoffenheim,56,1,0,34,1,31-60,Right Center Midfield,MF,0.0826,0.6294,-0.5468,2,54,30,0.0301,0.3242,-0.2941,0.2527,Positive,1,1
3895286,Bundesliga 2023/2024,Bayer Leverkusen,56,-1,1,34,1,31-60,Right Attacking Midfield,MF,0.6294,0.0826,0.5468,8,142,19,0.3242,0.0301,0.2941,-0.2527,Negative,1,1
3895286,Bundesliga 2023/2024,Hoffenheim,70,1,0,20,2,61-75,Left Center Forward,FW,0.0301,0.1834,-0.1533,1,35,23,0.0896,0.7148,-0.6252,-0.4719,Negative,2,0
3895286,Bundesliga 2023/2024,Hoffenheim,72,1,0,18,3,61-75,Right Center Midfield,MF,0.0301,0.3242,-0.2941,1,27,26,0.0896,0.7091,-0.6195,-0.3254,Negative,2,1
