model,accuracy,macro_f1,macro_auc
ExtraTrees Advanced,0.6804222648752399,0.6215737722175914,0.8430898212185992
Soft Voting Ensemble,0.6689059500959693,0.6140317779223604,0.827247252240752
LightGBM Advanced,0.6554702495201535,0.5973796362250267,0.8093548413600283
LightGBM Phase 2,0.6458733205374281,0.5935853630519589,0.8054487251802297
XGBoost Advanced,0.6170825335892515,0.5930053947858172,0.8053605342670883
Random Forest,0.6132437619961613,0.5928571492686281,0.800633477269038
XGBoost Phase 2,0.6055662188099808,0.5858319106558544,0.7899187573086467
Logistic Regression,0.5700575815738963,0.5606429981516675,0.7697546424699094
