match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc,competition_enc,abs_score_diff,is_trailing,is_leading,late_sub,very_late_sub,xg_per_shot_prev15,pressure_per_pass_prev15,passes_per_min_prev15,pressures_per_min_prev15,shots_per_min_prev15,outgoing_player,replacement_player,player_passes_prev15,pass_success_rate_drop,player_pressures_prev15,pressure_activity_drop,player_actions_prev15,action_rate_drop,player_involvement_share_prev15,FW_passes_prev15,FW_pressures_prev15,FW_shots_prev15,FW_xg_prev15,MF_passes_prev15,MF_pressures_prev15,MF_shots_prev15,MF_xg_prev15,DF_passes_prev15,DF_pressures_prev15,DF_shots_prev15,DF_xg_prev15,GK_passes_prev15,GK_pressures_prev15,GK_shots_prev15,GK_xg_prev15,FW_passes_next15,FW_pressures_next15,FW_shots_next15,FW_xg_next15,MF_passes_next15,MF_pressures_next15,MF_shots_next15,MF_xg_next15,DF_passes_next15,DF_pressures_next15,DF_shots_next15,DF_xg_next15,GK_passes_next15,GK_pressures_next15,GK_shots_next15,GK_xg_next15
3895320,Bundesliga 2023/2024,Bayer Leverkusen,73,-1,1,17,3,61-75,Center Forward,FW,0.4104,0.9004,-0.49,5,58,24,0.0,0.4295,-0.4295,0.0605,Neutral,2,0,0,1,1,0,1,0,0.08208,0.41379310344827586,3.8666666666666667,1.6,0.3333333333333333,Patrik Schick,Victor Okoh Boniface,4,0.5,4,-0.2,15,-0.2666666666666667,0.06787330316742081,17,10,1,0.0655,17,8,3,0.3102,21,6,1,0.0347,3,0,0,0.0,17,7,0,0.0,36,18,0,0.0,30,3,0,0.0,6,0,0,0.0
3895320,Bundesliga 2023/2024,VfB Stuttgart,73,1,0,17,1,61-75,Right Center Forward,FW,0.9004,0.4104,0.49,3,58,21,0.4295,0.0,0.4295,-0.0605,Neutral,2,0,0,1,0,1,1,0,0.3001333333333333,0.3620689655172414,3.8666666666666667,1.4,0.2,Deniz Undav,Woo-Yeong Jeong,4,0.0,2,0.4,17,0.33333333333333326,0.07488986784140969,9,3,2,0.8274,26,15,1,0.073,16,3,0,0.0,7,0,0,0.0,12,13,1,0.4295,31,12,0,0.0,20,9,0,0.0,8,0,0,0.0
3895320,Bundesliga 2023/2024,VfB Stuttgart,73,1,0,17,2,61-75,Left Defensive Midfield,MF,0.9004,0.4104,0.49,3,58,21,0.4295,0.0,0.4295,-0.0605,Neutral,2,1,0,1,0,1,1,0,0.3001333333333333,0.3620689655172414,3.8666666666666667,1.4,0.2,Enzo Millot,Mahmoud Dahoud,9,-0.09090909090909094,4,0.13333333333333336,29,0.9999999999999998,0.1277533039647577,9,3,2,0.8274,26,15,1,0.073,16,3,0,0.0,7,0,0,0.0,12,13,1,0.4295,31,12,0,0.0,20,9,0,0.0,8,0,0,0.0
3895320,Bundesliga 2023/2024,VfB Stuttgart,80,1,0,10,3,76-90+,Left Attacking Midfield,MF,0.6958,0.1002,0.5956,2,73,24,0.4295,0.0,0.4295,-0.1661,Negative,3,1,0,1,0,1,1,1,0.3479,0.3287671232876712,4.866666666666666,1.6,0.13333333333333333,Chris Führich,Anthony Rouault,4,-0.15000000000000002,2,0.19999999999999998,20,-0.19999999999999996,0.0749063670411985,9,9,1,0.6228,31,10,1,0.073,25,5,0,0.0,8,0,0,0.0,16,13,1,0.4295,22,15,0,0.0,12,8,0,0.0,8,0,0,0.0
3895320,Bundesliga 2023/2024,VfB Stuttgart,80,1,0,10,4,76-90+,Right Back,DF,0.6958,0.1002,0.5956,2,73,24,0.4295,0.0,0.4295,-0.1661,Negative,3,2,0,1,0,1,1,1,0.3479,0.3287671232876712,4.866666666666666,1.6,0.13333333333333333,Leonidas Stergiou,Silas Katompa Mvumpa,7,0.1428571428571428,0,0.06666666666666667,24,-0.13333333333333353,0.0898876404494382,9,9,1,0.6228,31,10,1,0.073,25,5,0,0.0,8,0,0,0.0,16,13,1,0.4295,22,15,0,0.0,12,8,0,0.0,8,0,0,0.0
3895158,Bundesliga 2023/2024,Bayer Leverkusen,63,-1,1,27,1,61-75,Right Attacking Midfield,MF,0.4014,0.0648,0.3366,7,138,29,0.1532,0.0591,0.0941,-0.2425,Negative,2,1,0,1,1,0,1,0,0.05734285714285714,0.21014492753623187,9.2,1.9333333333333333,0.4666666666666667,Jonas Hofmann,Amine Adli,12,-0.1785714285714286,1,0.13333333333333336,36,0.666666666666667,0.0728744939271255,32,8,2,0.0387,81,12,4,0.2584,21,9,1,0.1043,4,0,0,0.0,17,3,1,0.0299,42,6,2,0.1233,27,3,0,0.0,4,0,0,0.0
3895158,Bundesliga 2023/2024,Borussia Dortmund,63,1,0,27,1,61-75,Left Center Back,DF,0.0648,0.4014,-0.3366,2,60,34,0.0591,0.1532,-0.0941,0.2425,Positive,2,2,0,1,0,1,1,0,0.0324,0.5666666666666667,4.0,2.2666666666666666,0.13333333333333333,Nico Schlotterbeck,Antonios Papadopoulos,6,-0.33333333333333337,3,-0.06666666666666668,17,-0.6,0.06181818181818182,8,10,0,0.0,25,13,2,0.0648,23,11,0,0.0,4,0,0,0.0,12,6,1,0.0591,9,7,0,0.0,27,12,0,0.0,8,0,0,0.0
3895158,Bundesliga 2023/2024,Borussia Dortmund,64,1,0,26,2,61-75,Left Wing,FW,0.0648,0.3143,-0.2495,2,54,28,0.0591,1.0935,-1.0344,-0.7849,Negative,2,0,0,1,0,1,1,0,0.0324,0.5185185185185185,3.6,1.8666666666666667,0.13333333333333333,Jamie Jermaine Bynoe-Gittens,Karim-David Adeyemi,2,-0.09999999999999998,3,0.0,23,0.33333333333333326,0.09623430962343096,7,9,0,0.0,22,9,2,0.0648,21,10,0,0.0,4,0,0,0.0,12,7,1,0.0591,10,8,0,0.0,28,12,0,0.0,9,0,0,0.0
3895158,Bundesliga 2023/2024,Bayer Leverkusen,78,-1,1,12,2,76-90+,Left Defensive Midfield,MF,0.1532,0.0591,0.0941,3,90,12,1.09,0.0,1.09,0.9959,Positive,3,1,0,1,1,0,1,1,0.05106666666666667,0.13333333333333333,6.0,0.8,0.2,Exequiel Alejandro Palacios,Patrik Schick,14,0.04285714285714293,2,0.19999999999999998,42,2.333333333333334,0.13504823151125403,17,3,1,0.0299,42,6,2,0.1233,27,3,0,0.0,4,0,0,0.0,24,1,2,1.0216,66,7,1,0.0684,25,2,0,0.0,2,0,0,0.0
3895158,Bundesliga 2023/2024,Borussia Dortmund,83,0,0,7,3,76-90+,Right Wing,FW,0.0,1.0935,-1.0935,0,67,25,0.236,0.1496,0.0864,1.1799,Positive,3,0,0,0,0,0,1,1,0.0,0.373134328358209,4.466666666666667,1.6666666666666667,0.0,Marco Reus,Thomas Meunier,7,-0.5238095238095237,2,0.19999999999999998,20,0.40000000000000013,0.07782101167315175,15,6,0,0.0,13,9,0,0.0,30,10,0,0.0,9,0,0,0.0,7,15,1,0.236,1,3,0,0.0,7,8,0,0.0,5,0,0,0.0
