feature,importance
xg_diff_prev15,0.1042194080664011
opp_xg_prev15,0.08868376360966126
team_xg_prev15,0.044669062211312394
xg_per_shot_prev15,0.032419790820875566
FW_xg_prev15,0.028363828899096166
GK_passes_prev15,0.0256817569023741
DF_pressures_prev15,0.02511843144578969
MF_passes_prev15,0.02408769527635365
DF_passes_prev15,0.023729911489596373
FW_passes_prev15,0.023712617845155968
team_enc_adv,0.0236834323164364
FW_pressures_prev15,0.023121581376812216
MF_pressures_prev15,0.022944507791136323
pass_success_rate_drop,0.021825817294098517
time_remaining,0.02172596653864579
score_diff,0.02134180617137786
passes_prev15,0.02133706864594048
passes_per_min_prev15,0.021263417836831593
pressure_per_pass_prev15,0.02082957888969232
abs_score_diff,0.02032861470444145
action_rate_drop,0.02019365901039874
pressure_activity_drop,0.02014107150240498
pressures_per_min_prev15,0.020066976843242705
pressures_prev15,0.019988682053082043
player_pressures_prev15,0.0196902065195864
MF_xg_prev15,0.01944333180750021
competition_enc,0.018681085875924576
competition_enc_adv,0.018642772780243018
player_involvement_share_prev15,0.01863073418118763
player_passes_prev15,0.01861475298873492
game_phase_enc,0.018557773436973995
player_actions_prev15,0.018367464146549172
is_home,0.017426051880774153
sub_sequence,0.01723687090204306
position_group_enc,0.016660404572215935
DF_xg_prev15,0.01593493231190524
shots_per_min_prev15,0.015923033600920913
shots_prev15,0.01564448558007591
FW_shots_prev15,0.015594141659724012
MF_shots_prev15,0.01547351021448315
